title,month,year,social,aspect,opinion,review,country,polarity
No Luggage Storage,Aug,2016,google review,Satisfactions,There was no place to store luggage.,I had to carry my heavy luggage around the station because there was no place to store it. It was very inconvenient.,Austria,negative
Limited Food Options,Jan,2015,facebook,Price,The food options at the station were very limited.,The food options at the station were very limited. There were only a few fast food restaurants.,Poland,negative
Poorly Lit,Dec,2014,google review,Cleanliness,The station was dimly lit.,"The station was dimly lit, which made me feel uneasy. It was hard to see where I was going.",Romania,negative
Missed My Train,Jul,2023,twitter,Data availability,The information boards were inaccurate.,I missed my train because the information boards were inaccurate. I was very frustrated.,Hungary,negative
Unpleasant Smell,Feb,2024,google review,Cleanliness,The station smelled strongly of cigarette smoke.,"The station smelled strongly of cigarette smoke, which was unpleasant and made the environment less enjoyable.",Czech Republic,negative
Long Wait Times,Sep,2019,facebook,Satisfactions,I had to wait for a long time for my train.,"I had to wait for a long time for my train, and there were no facilities for passengers to use.",Slovakia,negative
Limited Seating,Mar,2022,google review,Satisfactions,There weren't enough seats in the waiting area.,There weren't enough seats in the waiting area. I had to stand for a long time.,Bulgaria,negative
Noisy Announcements,Apr,2017,facebook,Data availability,The announcements were loud and jarring.,The announcements were loud and jarring. It was very stressful to be in the station.,Lithuania,negative
Uncomfortable Environment,Aug,2016,google review,Satisfactions,The station felt cramped and uncomfortable.,The station felt cramped and uncomfortable. It was not a pleasant place to wait for a train.,Latvia,negative
Dirty Floors,Jan,2015,facebook,Cleanliness,The floors in the station were dirty.,The floors in the station were dirty and sticky. It was not a hygienic environment.,Estonia,negative
Lack of Information,Dec,2014,google review,Data availability,I couldn't find any information about my train departure time.,I couldn't find any information about my train departure time. I was worried I might miss it.,Ukraine,negative
Broken Escalator,Jul,2023,twitter,Reliability equipment,The escalator was broken.,"The escalator was broken, and I had to carry my luggage up the stairs. It was very tiring.",Belarus,negative
Lack of Staff,Feb,2024,google review,Handling Complaints,There wasn't enough staff to assist passengers.,There wasn't enough staff to assist passengers. It was hard to find help when I needed it.,Moldova,negative
Unreliable Train Schedule,Sep,2019,facebook,Punctuality,The train schedule was not accurate.,The train schedule was not accurate. My train was delayed for over an hour.,Russia,negative
Limited Ticket Options,Mar,2022,google review,Price,The ticket options were limited.,"The ticket options were limited, and I couldn't find a ticket that suited my needs.",Kazakhstan,negative
Disorganized Station,Apr,2017,facebook,Satisfactions,The station was chaotic and disorganized.,The station was chaotic and disorganized. It was hard to find my way around.,Azerbaijan,negative
Dirty Restrooms,Aug,2016,google review,Cleanliness,The restrooms were dirty and smelly.,The restrooms were dirty and smelly. It was not a pleasant experience.,Armenia,negative
Noisy and Crowded,Jan,2015,facebook,Satisfactions,The station was noisy and crowded.,"The station was noisy and crowded, which made it a stressful experience.",Georgia,negative
Poor Security,Dec,2014,google review,Safety,I felt unsafe at the station.,I felt unsafe at the station. There were no security personnel visible.,Uzbekistan,negative
Limited Accessibility,Jul,2023,twitter,Maintenance,The station was not accessible for wheelchair users.,The station was not accessible for wheelchair users. There were no ramps or elevators.,Kyrgyzstan,negative
Unfriendly Staff,Feb,2024,google review,Handling Complaints,The staff were unfriendly and unhelpful.,The staff were unfriendly and unhelpful. I felt unwelcome at the station.,Turkmenistan,negative
Uncomfortable Waiting Area,Sep,2019,facebook,Satisfactions,The waiting area was uncomfortable and cramped.,The waiting area was uncomfortable and cramped. It was not a pleasant place to wait for a train.,Tajikistan,negative
Noisy Environment,Mar,2022,google review,Satisfactions,The station was incredibly noisy.,"The station was incredibly noisy, with loud announcements and people talking loudly.",Afghanistan,negative
Limited Food Options,Apr,2017,facebook,Price,The food options at the station were limited and overpriced.,The food options at the station were limited and overpriced.,Pakistan,negative
Dirty Bathrooms,Aug,2016,google review,Cleanliness,The restrooms were dirty and lacked basic hygiene.,The restrooms were dirty and lacked basic hygiene.,India,negative
Lack of Information,Jan,2015,facebook,Data availability,It was difficult to find information about train schedules and platforms.,It was difficult to find information about train schedules and platforms.,Sri Lanka,negative
Uncomfortable Seating,Dec,2014,google review,Satisfactions,The seating in the waiting area was uncomfortable and worn out.,The seating in the waiting area was uncomfortable and worn out.,Bangladesh,negative
Poorly Lit,Jul,2023,twitter,Cleanliness,The station was poorly lit.,"The station was poorly lit, which made it feel unsafe and unpleasant.",Nepal,negative
Unreliable Train Service,Feb,2024,google review,Reliability equipment,The trains were often delayed or cancelled.,The trains were often delayed or cancelled with no explanation.,Bhutan,negative
Lack of Security,Sep,2019,facebook,Safety,I felt unsafe at the station due to the lack of security personnel.,I felt unsafe at the station due to the lack of security personnel.,Myanmar,negative
Unhelpful Staff,Mar,2022,google review,Handling Complaints,The staff were unhelpful and rude.,The staff were unhelpful and rude when I asked for directions.,Cambodia,negative
Disorganized Station,Apr,2017,facebook,Satisfactions,The station was disorganized and confusing.,"The station was disorganized and confusing, making it difficult to navigate.",Laos,negative
Unpleasant Atmosphere,Aug,2016,google review,Satisfactions,The station felt unpleasant and stressful.,The station felt unpleasant and stressful due to the noise and crowds.,Vietnam,negative
Noisy Environment,Jan,2015,facebook,Satisfactions,The station was noisy and crowded.,"The station was noisy and crowded, making it difficult to relax.",Singapore,negative
Dirty Floors,Dec,2014,google review,Cleanliness,The floors in the station were dirty.,The floors in the station were dirty and sticky.,Malaysia,negative
Lack of Amenities,Jul,2023,twitter,Cleanliness,The station lacked basic amenities.,"The station lacked basic amenities, such as clean restrooms and water fountains.",Indonesia,negative
Limited Ticket Options,Feb,2024,google review,Price,The ticket options were limited and inconvenient.,The ticket options were limited and inconvenient.,Philippines,negative
Uncomfortable Waiting Area,Sep,2019,facebook,Satisfactions,The waiting area was uncomfortable and crowded.,The waiting area was uncomfortable and crowded.,Thailand,negative
Poor Communication,Mar,2022,google review,Data availability,The announcements were unclear and confusing.,The announcements were unclear and confusing.,Brunei,negative
Unpleasant Smell,Apr,2017,facebook,Cleanliness,The station smelled unpleasant.,"The station smelled unpleasant, like garbage or sewage.",East Timor,negative
Lack of Staff,Aug,2016,google review,Handling Complaints,It was difficult to find staff to assist with questions or problems.,It was difficult to find staff to assist with questions or problems.,Hong Kong,negative
Disorganized Station,Jan,2015,facebook,Satisfactions,The station was disorganized and confusing.,"The station was disorganized and confusing, making it difficult to find my way around.",Macau,negative
Poor Security,Dec,2014,google review,Safety,I felt unsafe at the station due to the lack of security measures.,I felt unsafe at the station due to the lack of security measures.,Taiwan,negative
Unreliable Train Service,Jul,2023,twitter,Reliability equipment,The trains were often delayed or cancelled with no notice.,The trains were often delayed or cancelled with no notice.,South Korea,negative
Limited Food Options,Feb,2024,google review,Price,The food options at the station were limited and overpriced.,The food options at the station were limited and overpriced.,North Korea,negative
Dirty Bathrooms,Sep,2019,facebook,Cleanliness,The restrooms were dirty and unsanitary.,The restrooms were dirty and unsanitary.,Japan,negative
Uncomfortable Seating,Mar,2022,google review,Satisfactions,The seating in the waiting area was uncomfortable and cramped.,The seating in the waiting area was uncomfortable and cramped.,China,negative
Poor Communication,Apr,2017,facebook,Data availability,The announcements were unclear and confusing.,"The announcements were unclear and confusing, making it difficult to find information.",India,negative
Unpleasant Atmosphere,Aug,2016,google review,Satisfactions,The station felt unpleasant and stressful due to the noise and crowds.,The station felt unpleasant and stressful due to the noise and crowds.,Pakistan,negative
Noisy Environment,Jan,2015,facebook,Satisfactions,The station was incredibly noisy.,"The station was incredibly noisy, with constant announcements and people talking loudly.",Bangladesh,negative
Dirty Floors,Dec,2014,google review,Cleanliness,The floors in the station were dirty and sticky.,The floors in the station were dirty and sticky.,Sri Lanka,negative
Lack of Amenities,Jul,2023,twitter,Cleanliness,The station lacked basic amenities.,"The station lacked basic amenities, such as clean restrooms and water fountains.",Nepal,negative
Limited Ticket Options,Feb,2024,google review,Price,The ticket options were limited and inconvenient.,"The ticket options were limited and inconvenient, making it difficult to find a suitable ticket.",Bhutan,negative
Uncomfortable Waiting Area,Sep,2019,facebook,Satisfactions,The waiting area was uncomfortable and crowded.,"The waiting area was uncomfortable and crowded, with limited seating options.",Myanmar,negative
Poor Communication,Mar,2022,google review,Data availability,The announcements were unclear and confusing.,"The announcements were unclear and confusing, making it difficult to understand information.",Cambodia,negative
Unpleasant Smell,Apr,2017,facebook,Cleanliness,The station smelled unpleasant.,"The station smelled unpleasant, like garbage or sewage, making the environment less enjoyable.",Laos,negative
Lack of Staff,Aug,2016,google review,Handling Complaints,It was difficult to find staff to assist with questions or problems.,"It was difficult to find staff to assist with questions or problems, making the experience frustrating.",Vietnam,negative
Disorganized Station,Jan,2015,facebook,Satisfactions,The station was disorganized and confusing.,"The station was disorganized and confusing, making it difficult to find my way around and locate my platform.",Singapore,negative
Poor Security,Dec,2014,google review,Safety,I felt unsafe at the station due to the lack of security measures.,"I felt unsafe at the station due to the lack of security measures, making me feel vulnerable.",Malaysia,negative
Unreliable Train Service,Jul,2023,twitter,Reliability equipment,The trains were often delayed or cancelled with no notice.,"The trains were often delayed or cancelled with no notice, disrupting my travel plans.",Indonesia,negative
Limited Food Options,Feb,2024,google review,Price,The food options at the station were limited and overpriced.,"The food options at the station were limited and overpriced, making it difficult to find a decent meal.",Philippines,negative
Uncomfortable Waiting Area,Sep,2019,facebook,Satisfactions,The waiting area was uncomfortable and crowded.,"The waiting area was uncomfortable and crowded, with limited seating and poor air circulation.",Thailand,negative
Poor Communication,Mar,2022,google review,Data availability,The announcements were unclear and confusing.,"The announcements were unclear and confusing, making it difficult to understand information and navigate the station.",Brunei,negative
Unpleasant Smell,Apr,2017,facebook,Cleanliness,The station smelled unpleasant.,"The station smelled unpleasant, like garbage or sewage, making the environment less enjoyable and affecting my overall experience.",East Timor,negative
Lack of Staff,Aug,2016,google review,Handling Complaints,It was difficult to find staff to assist with questions or problems.,"It was difficult to find staff to assist with questions or problems, making the experience frustrating and inefficient.",Hong Kong,negative
Disorganized Station,Jan,2015,facebook,Satisfactions,The station was disorganized and confusing.,"The station was disorganized and confusing, making it difficult to find my way around and locate my platform, resulting in a stressful experience.",Macau,negative
Poor Security,Dec,2014,google review,Safety,I felt unsafe at the station due to the lack of security measures.,"I felt unsafe at the station due to the lack of security measures, making me feel vulnerable and concerned for my belongings.",Taiwan,negative
Disappointing Cleanliness,Oct,2023,google review,Cleanliness,The station was not clean,"The station was quite dusty and the toilets were really not great. I was surprised by the lack of cleanliness, especially given its location in Bangkok.",Canada,negative
Unreliable Equipment,May,2022,facebook,Reliability equipment,The escalator was not working,"The escalator was out of service, forcing me to carry my luggage up the stairs.  Not ideal with a heavy bag.",USA,negative
Safety Concerns,Dec,2021,facebook,Safety,The station felt unsafe,I felt a bit uneasy walking through the station at night. There weren't enough security personnel visible and it felt a little unsafe.,UK,negative
Slow Payment System,Feb,2024,google review,User-friendly payment system,The payment system was slow,The ticket machines were frustratingly slow. It took forever to get my ticket and the queue was quite long.,Australia,negative
Unhelpful Staff,Jul,2019,twitter,Satisfactions,The staff were not helpful,I asked a staff member for directions but they weren't very helpful. They didn't seem to speak much English.,France,negative
Missed Train,Sep,2020,google review,Puncuality,The train was delayed,"My train was delayed and I missed my connection. There was no clear information about the delay, which was frustrating.",Germany,negative
Poor Maintenance,Nov,2023,instagram,Maintenance,The station was not well maintained,The station seemed a bit run down. The paint was peeling and the floors were cracked.,Spain,negative
Limited Information,Jun,2022,google review,Data availability,The information was limited,It was difficult to find information about train schedules.  There weren't enough clear signs or digital displays.,Italy,negative
Unpleasant Experience,Mar,2024,facebook,Satisfactions,The experience was unpleasant,The whole experience felt chaotic and rushed. I wish the station was a bit more organized and less stressful.,Japan,negative
No Complaints Handling,Jan,2023,twitter,Handling complaints,There was no one to help with the complaint,I had a problem with my ticket but there was no one to help me. I was left to sort it out on my own.,Sweden,negative
Crowded Conditions,Aug,2021,google review,Cleanliness,The station was crowded,"The station was extremely crowded, especially during peak hours. It made it difficult to navigate.",Netherlands,negative
Dirty Bathrooms,Apr,2022,instagram,Cleanliness,The bathrooms were dirty,The bathrooms were dirty and didn't have proper facilities. It was not a pleasant experience.,Denmark,negative
Unresponsive Staff,Dec,2023,facebook,Satisfactions,The staff were unresponsive,I tried to get help from a staff member but they just ignored me. They didn't seem interested in assisting passengers.,Norway,negative
Unsafe Platform,Jul,2020,twitter,Safety,The platform felt unsafe,I felt a little uneasy standing on the platform.  The area felt cramped and lacked proper lighting.,Belgium,negative
Escalator Issues,Oct,2021,google review,Reliability equipment,The escalator was not reliable,"The escalator kept stopping and starting, making it a bit unnerving to use.  I would prefer if they were working properly.",Finland,negative
Poor Customer Service,May,2023,facebook,Handling complaints,The customer service was poor,I had a problem with my ticket and the staff member was unhelpful and rude. They didn't try to resolve the issue.,Portugal,negative
Confusing Directions,Mar,2019,google review,Data availability,The directions were confusing,The signage within the station was confusing and hard to understand. It took me a while to find my platform.,Ireland,negative
Overpriced Food,Sep,2022,instagram,Price,The food was overpriced,The food and drinks available in the station were overpriced.  I was expecting more affordable options.,Switzerland,negative
Unreliable Train Service,Jan,2024,twitter,Puncuality,The train service was unreliable,"My train was cancelled without any warning. I had to wait for hours for the next one, which was frustrating.",Austria,negative
Dirty Environment,Nov,2023,google review,Cleanliness,The station was dirty,The station was littered with trash and the floors were sticky. It didn't feel very hygienic.,New Zealand,negative
Unhelpful Staff,Jun,2022,facebook,Satisfactions,The staff were unhelpful,I tried to ask a staff member for assistance but they were not helpful and seemed indifferent.,South Africa,negative
Poorly Maintained Facilities,Apr,2021,google review,Maintenance,The facilities were poorly maintained,The toilets were dirty and the walls were cracked. The station needs a good cleaning and some repairs.,Brazil,negative
Lack of Safety Measures,Dec,2023,instagram,Safety,The station lacked safety measures,I felt unsafe walking through the station at night.  There were no security guards visible and the lighting was poor.,India,negative
Difficult to Use Payment System,Oct,2022,facebook,User-friendly payment system,The payment system was difficult to use,The ticket machines were confusing and I struggled to buy my ticket.  I had to ask for help from a staff member.,China,negative
No Information Available,May,2024,twitter,Data availability,There was no information available,I couldn't find any information about train delays or cancellations. It would be helpful if they had better information displays.,Russia,negative
Unsatisfactory Experience,Jun,2021,google review,Satisfactions,The experience was unsatisfactory,The overall experience at the station was not pleasant. It felt chaotic and stressful.,Mexico,negative
No Resolution to Complaints,Jul,2023,facebook,Handling complaints,The complaint was not resolved,I had a complaint about the train service but the staff were unhelpful and didn't offer any solutions.,Indonesia,negative
Lack of Cleanliness,Aug,2022,instagram,Cleanliness,The station was not clean,The station was dusty and the floors were dirty.  It could use a good cleaning.,Turkey,negative
Unreliable Escalators,Sep,2020,google review,Reliability equipment,The escalators were unreliable,The escalators were constantly breaking down. It was frustrating to have to keep taking the stairs.,Pakistan,negative
Safety Concerns,Oct,2021,facebook,Safety,The station was not safe,I felt a little uneasy walking through the station at night.  It would be good to have more security personnel around.,Philippines,negative
Difficult to Use Payment System,Nov,2023,twitter,User-friendly payment system,The payment system was difficult to use,The ticket machines were difficult to use and I struggled to buy my ticket. It could be improved.,Vietnam,negative
Unhelpful Staff,Dec,2022,google review,Satisfactions,The staff were unhelpful,I asked a staff member for help but they were not helpful and just ignored me.,Egypt,negative
Train Delays,Jan,2024,facebook,Puncuality,The train was delayed,My train was delayed and there was no clear information about the delay. It was frustrating to have to wait.,Saudi Arabia,negative
Poorly Maintained Facilities,Feb,2023,instagram,Maintenance,The facilities were poorly maintained,The station was in need of some repairs. The floors were cracked and the paint was peeling.,Nigeria,negative
Limited Information,Mar,2022,google review,Data availability,The information was limited,It was difficult to find information about train schedules and destinations. The signage was not clear.,Algeria,negative
Unsatisfactory Experience,Apr,2021,facebook,Satisfactions,The experience was unsatisfactory,The overall experience at the station was not pleasant. It felt crowded and disorganized.,Morocco,negative
No Complaint Resolution,May,2024,twitter,Handling complaints,The complaint was not resolved,I had a complaint about a lost item but the staff were unhelpful and didn't offer any assistance.,Kenya,negative
Unclean Environment,Jun,2023,google review,Cleanliness,The station was unclean,The station was dirty and littered with trash. It could use a good cleaning.,South Korea,negative
Unreliable Equipment,Jul,2022,facebook,Reliability equipment,The equipment was unreliable,The escalator was out of service and I had to carry my luggage up the stairs.  It was very inconvenient.,Taiwan,negative
Safety Issues,Aug,2021,instagram,Safety,The station was unsafe,I felt unsafe walking through the station at night. It would be good to have better lighting and more security.,Singapore,negative
Difficult Payment System,Sep,2020,google review,User-friendly payment system,The payment system was difficult,The ticket machines were confusing and difficult to use.  I wish there were more clear instructions.,Hong Kong,negative
No Information Available,Oct,2023,facebook,Data availability,There was no information available,I couldn't find any information about train delays or cancellations. It was frustrating to have to guess.,Malaysia,negative
Unsatisfactory Service,Nov,2022,twitter,Satisfactions,The service was unsatisfactory,The overall service at the station was not good. It felt chaotic and unorganized.,Myanmar,negative
No Complaints Handling,Dec,2021,google review,Handling complaints,The complaint was not handled,I had a complaint about the train service but the staff didn't offer any help or resolution.,Cambodia,negative
Dirty Station,Jan,2024,facebook,Cleanliness,The station was dirty,The station was littered with trash and the floors were dirty. It could use a good cleaning.,Laos,negative
Unreliable Escalators,Feb,2023,instagram,Reliability equipment,The escalators were unreliable,The escalators kept breaking down and I had to take the stairs. It was very inconvenient.,Sri Lanka,negative
Safety Issues,Mar,2022,google review,Safety,The station had safety issues,I felt unsafe walking through the station at night.  There were no security guards visible and the lighting was poor.,Bangladesh,negative
Difficult Payment System,Apr,2021,facebook,User-friendly payment system,The payment system was difficult to use,The ticket machines were confusing and I had trouble buying my ticket.  The instructions weren't clear.,Nepal,negative
No Information Available,May,2024,twitter,Data availability,There was no information available,I couldn't find any information about train delays or cancellations.  It would be helpful to have more signage.,Pakistan,negative
Unsatisfactory Service,Jun,2023,google review,Satisfactions,The service was unsatisfactory,The overall service at the station was not good.  It felt crowded and stressful.,Afghanistan,negative
No Complaint Resolution,Jul,2022,facebook,Handling complaints,The complaint was not resolved,I had a complaint about a lost item but the staff didn't offer any assistance. I was left to sort it out myself.,Yemen,negative
Dirty and Unhygienic,Aug,2021,instagram,Cleanliness,The station was dirty and unhygienic,The station was dirty and littered with trash. It didn't feel very hygienic.,Israel,negative
Unreliable Train Service,Sep,2020,google review,Puncuality,The train service was unreliable,My train was delayed and I missed my connection.  The train service was unreliable.,United Arab Emirates,negative
Safety Concerns,Oct,2023,facebook,Safety,The station felt unsafe,I felt unsafe walking through the station at night.  There were no security guards visible and the lighting was poor.,Qatar,negative
Difficult to Use Payment System,Nov,2022,twitter,User-friendly payment system,The payment system was difficult to use,The ticket machines were confusing and I struggled to buy my ticket.  The system could be improved.,Kuwait,negative
No Information Available,Dec,2021,google review,Data availability,There was no information available,I couldn't find any information about train schedules or destinations.  It would be helpful to have more displays.,Oman,negative
Unsatisfactory Experience,Jan,2024,facebook,Satisfactions,The experience was unsatisfactory,The overall experience at the station was not pleasant.  It felt crowded and disorganized.,Bahrain,negative
No Complaint Resolution,Feb,2023,instagram,Handling complaints,The complaint was not resolved,I had a complaint about a lost item but the staff were unhelpful and didn't offer any help.,Lebanon,negative
Dirty and Unhygienic,Mar,2022,google review,Cleanliness,The station was dirty and unhygienic,The station was dirty and littered with trash.  It didn't feel very hygienic.,Jordan,negative
Unreliable Train Service,Apr,2021,facebook,Puncuality,The train service was unreliable,My train was delayed and I missed my connection.  The train service was unreliable.,Syria,negative
Safety Concerns,May,2024,twitter,Safety,The station felt unsafe,I felt unsafe walking through the station at night.  There were no security guards visible and the lighting was poor.,Iraq,negative
Difficult to Use Payment System,Jun,2023,google review,User-friendly payment system,The payment system was difficult to use,The ticket machines were confusing and I struggled to buy my ticket.  It would be good to have more clear instructions.,Iran,negative
No Information Available,Jul,2022,facebook,Data availability,There was no information available,I couldn't find any information about train delays or cancellations.  It would be helpful to have more signage.,Egypt,negative
Unsatisfactory Experience,Aug,2021,instagram,Satisfactions,The experience was unsatisfactory,The overall experience at the station was not pleasant. It felt crowded and disorganized.,Libya,negative
No Complaint Resolution,Sep,2020,google review,Handling complaints,The complaint was not resolved,I had a complaint about a lost item but the staff didn't offer any assistance.  I was left to sort it out myself.,Tunisia,negative
Dirty and Unhygienic,Oct,2023,facebook,Cleanliness,The station was dirty and unhygienic,The station was dirty and littered with trash.  It didn't feel very hygienic.,Algeria,negative
Unreliable Train Service,Nov,2022,twitter,Puncuality,The train service was unreliable,My train was delayed and I missed my connection. The train service was unreliable.,Morocco,negative
Safety Concerns,Dec,2021,google review,Safety,The station felt unsafe,I felt unsafe walking through the station at night.  There were no security guards visible and the lighting was poor.,Sudan,negative
Difficult to Use Payment System,Jan,2024,facebook,User-friendly payment system,The payment system was difficult to use,The ticket machines were confusing and I struggled to buy my ticket. The system could be improved.,South Sudan,negative
No Information Available,Feb,2023,instagram,Data availability,There was no information available,I couldn't find any information about train delays or cancellations.  It would be helpful to have more displays.,Ethiopia,negative
Unsatisfactory Experience,Mar,2022,google review,Satisfactions,The experience was unsatisfactory,The overall experience at the station was not pleasant.  It felt crowded and disorganized.,Somalia,negative
No Complaint Resolution,Apr,2021,facebook,Handling complaints,The complaint was not resolved,I had a complaint about a lost item but the staff didn't offer any assistance. I was left to sort it out myself.,Kenya,negative
Dirty and Unhygienic,May,2024,twitter,Cleanliness,The station was dirty and unhygienic,The station was dirty and littered with trash.  It didn't feel very hygienic.,Tanzania,negative
Unreliable Train Service,Jun,2023,google review,Puncuality,The train service was unreliable,My train was delayed and I missed my connection. The train service was unreliable.,Uganda,negative
Safety Concerns,Jul,2022,facebook,Safety,The station felt unsafe,I felt unsafe walking through the station at night. There were no security guards visible and the lighting was poor.,Rwanda,negative
Difficult to Use Payment System,Aug,2021,instagram,User-friendly payment system,The payment system was difficult to use,The ticket machines were confusing and I struggled to buy my ticket. The system could be improved.,Burundi,negative
No Information Available,Sep,2020,google review,Data availability,There was no information available,I couldn't find any information about train delays or cancellations. It would be helpful to have more displays.,Democratic Republic of the Congo,negative
Unsatisfactory Experience,Oct,2023,facebook,Satisfactions,The experience was unsatisfactory,The overall experience at the station was not pleasant. It felt crowded and disorganized.,Republic of the Congo,negative
No Complaint Resolution,Nov,2022,twitter,Handling complaints,The complaint was not resolved,I had a complaint about a lost item but the staff didn't offer any assistance. I was left to sort it out myself.,Central African Republic,negative
Dirty and Unhygienic,Dec,2021,google review,Cleanliness,The station was dirty and unhygienic,The station was dirty and littered with trash. It didn't feel very hygienic.,Cameroon,negative
Unreliable Train Service,Jan,2024,facebook,Puncuality,The train service was unreliable,My train was delayed and I missed my connection. The train service was unreliable.,Gabon,negative
Safety Concerns,Feb,2023,instagram,Safety,The station felt unsafe,I felt unsafe walking through the station at night. There were no security guards visible and the lighting was poor.,Equatorial Guinea,negative
Difficult to Use Payment System,Mar,2022,google review,User-friendly payment system,The payment system was difficult to use,The ticket machines were confusing and I struggled to buy my ticket. The system could be improved.,Sao Tome and Principe,negative
No Information Available,Apr,2021,facebook,Data availability,There was no information available,I couldn't find any information about train delays or cancellations. It would be helpful to have more displays.,Angola,negative
Unsatisfactory Experience,May,2024,twitter,Satisfactions,The experience was unsatisfactory,The overall experience at the station was not pleasant. It felt crowded and disorganized.,Namibia,negative
No Complaint Resolution,Jun,2023,google review,Handling complaints,The complaint was not resolved,I had a complaint about a lost item but the staff didn't offer any assistance. I was left to sort it out myself.,Botswana,negative
Dirty and Unhygienic,Jul,2022,facebook,Cleanliness,The station was dirty and unhygienic,The station was dirty and littered with trash. It didn't feel very hygienic.,Zimbabwe,negative
Unreliable Train Service,Aug,2021,instagram,Puncuality,The train service was unreliable,My train was delayed and I missed my connection. The train service was unreliable.,Mozambique,negative
Safety Concerns,Sep,2020,google review,Safety,The station felt unsafe,I felt unsafe walking through the station at night. There were no security guards visible and the lighting was poor.,Malawi,negative
Difficult to Use Payment System,Oct,2023,facebook,User-friendly payment system,The payment system was difficult to use,The ticket machines were confusing and I struggled to buy my ticket. The system could be improved.,Zambia,negative
No Information Available,Nov,2022,twitter,Data availability,There was no information available,I couldn't find any information about train delays or cancellations. It would be helpful to have more displays.,Madagascar,negative
Unsatisfactory Experience,Dec,2021,google review,Satisfactions,The experience was unsatisfactory,The overall experience at the station was not pleasant. It felt crowded and disorganized.,Seychelles,negative
No Complaint Resolution,Jan,2024,facebook,Handling complaints,The complaint was not resolved,I had a complaint about a lost item but the staff didn't offer any assistance. I was left to sort it out myself.,Mauritius,negative
Safety Concerns,Nov,2021,facebook,Safety,It's unsafe at night.,I felt unsafe walking to the platform at night. The lighting was poor and there were shady characters hanging around.,UK,negative
Dirty and Disgusting,Jun,2019,google review,Cleanliness,The toilets were dirty.,"The toilets were absolutely filthy! I wouldn't even touch the door handle. It's a shame, as the station is otherwise quite nice.",Canada,negative
Unreliable Equipment,Feb,2023,tiktok,Reliability equipment,The escalators often break down.,The escalators were broken again. This seems to be a common problem at this station. It's frustrating having to take the stairs with heavy luggage.,Australia,negative
Overpriced,Dec,2022,facebook,Price,The prices are too high.,The prices for food and drinks at the station are ridiculously high. I could get a cheaper meal outside.,USA,negative
Frustrating Complaints,Sep,2020,instagram,Handling complaints,The staff are unhelpful.,"I had a problem with my ticket, and the staff were unhelpful and dismissive. It was a frustrating experience.",Germany,negative
Unhappy Passenger,May,2024,google review,Puncuality,The trains are often delayed.,The train was delayed for over an hour with no explanation. I missed my connecting flight and had to rearrange my whole trip.,France,negative
Poor Maintenance,Jan,2017,twitter,Maintenance,The station is not well-maintained.,"The station looks run-down and neglected. The paint is peeling, the floors are cracked, and there's litter everywhere.",Netherlands,negative
Unfriendly Payment System,Oct,2018,google review,User-friendly payment system,The payment system is difficult to use.,"I had trouble using the ticketing machines. The interface was confusing, and I couldn't find my desired destination. I had to ask for help from a staff member.",Japan,negative
No Information Available,Jul,2016,twitter,Data availability,There is no information available.,"I couldn't find any information about train times or platform numbers. The screens were blank, and there were no staff members to help.",Italy,negative
A Scary Experience,Mar,2015,facebook,Safety,The station is unsafe.,"I witnessed a fight break out on the platform. It was a frightening experience, and I felt unsafe. There should be more security at the station.",Spain,negative
Cleanliness Issues,Apr,2024,instagram,Cleanliness,The station is not clean.,The floors were sticky and there was trash everywhere. It's a shame because the station could be so much nicer if it was kept clean.,Brazil,negative
Unreliable Service,Dec,2019,google review,Reliability equipment,The train service is unreliable.,The trains were constantly delayed or cancelled. It was a stressful and inconvenient experience.,China,negative
Disappointing Service,Aug,2018,facebook,Satisfactions,The overall experience was disappointing.,"I was disappointed with the overall experience at the station. The staff were rude, the facilities were dirty, and the trains were unreliable.",India,negative
Broken Equipment,Sep,2021,google review,Reliability equipment,The equipment is unreliable.,"The escalators were broken, and the lifts were out of service. It was a real inconvenience trying to get around with my luggage.",South Korea,negative
Unpleasant Journey,Jun,2020,twitter,Satisfactions,The journey was unpleasant.,The journey was unpleasant due to the constant announcements and noise. It was difficult to relax or get any work done.,Russia,negative
Lack of Information,May,2016,instagram,Data availability,There is not enough information.,There were no signs or announcements about where to find my platform. I had to ask several staff members for help.,Mexico,negative
Unpleasant Experience,Oct,2022,facebook,Safety,The station feels unsafe.,I felt unsafe walking through the station at night. There were no security guards or staff members visible.,Sweden,negative
Filthy Station,Nov,2023,google review,Cleanliness,The station is very dirty.,"The station was incredibly dirty and smelly. There was trash everywhere, and the toilets were unusable.",Turkey,negative
Poor Service,Jan,2019,twitter,Handling complaints,The staff are unhelpful.,"The staff at the station were rude and unhelpful. I had a problem with my ticket, and they refused to assist me.",Portugal,negative
Unreliable Train Service,Jul,2024,facebook,Reliability equipment,The train service is unreliable.,The trains were frequently delayed or cancelled. It was frustrating trying to plan my trip around such an unreliable service.,Egypt,negative
Overpriced Facilities,Mar,2020,instagram,Price,The prices are too high.,The prices for food and drinks at the station were ridiculously high. I felt like I was being ripped off.,Poland,negative
Unsatisfactory Experience,Dec,2017,google review,Satisfactions,The overall experience was unsatisfying.,"The overall experience at the station was unsatisfying. The facilities were outdated, the staff were unhelpful, and the trains were crowded.",Belgium,negative
